ID,RiskScore
0,32.05705802920903
1,52.76171246206765
2,28.2264418361327
3,35.62127660524852
4,36.19425550055928
5,69.63272067574894
6,30.192765033789918
7,32.34842413847147
8,35.91067396932374
9,67.46069190152608
10,32.821087126878275
11,30.122133157775586
12,70.43529215935641
13,38.6763980425128
14,34.702339592692226
15,57.45346240935227
16,21.902498792536242
17,33.500399765425975
18,66.39140410314059
19,57.75052155949906
20,72.57312590057052
21,32.661263735833906
22,70.47193174408343
23,43.68930904810183
24,48.99494089549205
25,26.10723569372702
26,29.887101013236652
27,27.041359090201432
28,54.684414155456786
29,78.9854331399849
30,29.640504235272303
31,67.92756030702316
32,32.19633216287356
33,29.956324778515295
34,39.96588837192069
35,37.47878543562283
36,66.52223325092825
37,54.81341310511375
38,51.83490331233701
39,74.97823151052901
40,69.5052988605151
41,45.68880385142298
42,82.59972684665468
43,21.193419111155666
44,52.53997220415013
45,29.912624587567556
46,32.104500249458084
47,68.22179973949531
48,28.84476159062891
49,39.454614270442526
50,69.27081673885944
51,58.333061285189395
52,42.6157308067928
53,24.338965414702685
54,31.010171210900474
55,37.24694570390743
56,72.84077473930853
57,32.625294271733104
58,41.598828336186656
59,64.21345932299147
60,66.13372627580631
61,47.672981324353586
62,31.390897386634162
63,85.60449507963361
64,28.57199996178275
65,33.65107043828979
66,63.626070886260834
67,62.03592526915598
68,38.17163659454542
69,69.6080435994949
70,35.346568236118024
71,39.20596843440086
72,51.87865042795507
73,49.17874572123493
74,45.65543670765632
75,67.76035389271149
76,67.79210749436149
77,24.713979863991927
78,53.83559463787011
79,61.943752802650536
80,70.20369336965106
81,54.34196402149374
82,61.113480956541096
83,33.94215578032445
84,68.68018338330151
85,73.97145001582153
86,63.18962580833983
87,23.615457558235963
88,35.40116050866695
89,70.69265757571395
90,35.080746278209425
91,43.165719686866126
92,40.753207957819676
93,30.682707046543797
94,38.76566232870701
95,38.5040515130871
96,32.840218692660784
97,69.61484900519321
98,37.18981246389785
99,66.75307791041416
100,32.98115712837198
101,33.96165646377722
102,69.72302768957807
103,74.25924081829189
104,32.6037800760549
105,78.25864019256561
106,76.76745098568989
107,70.35212229041586
108,38.69253278998687
109,72.54035879063495
110,52.33821889953088
111,68.12139551629485
112,77.13520999091966
113,57.529949193360494
114,67.9992693977892
115,31.72123375696536
116,70.3219622169051
117,54.64341220989502
118,39.79361091298417
119,45.7105465304178
120,22.43730671822061
121,75.54070493851093
122,33.12614073505157
123,51.098227104638326
124,33.2722646023317
125,59.457088737495724
